Movie ID,Year,Average Rating
13194,2007,7.192
118,2005,7.051
807339,2024,6.161
103,1976,8.141
1062215,2024,6.2
682075,2022,7.0
1373893,2024,6.0
674,2005,7.812
280180,2024,6.8
597,1997,7.906
177572,2014,7.733
1371350,2024,5.8
102899,2015,7.076
959092,2023,6.653
940721,2023,7.58
601796,2022,6.8
1184773,2023,5.0
585,2001,7.845
1029330,2024,6.7
24428,2012,7.719
943344,2023,5.429
568124,2021,7.6
8587,1994,8.3
346364,2017,7.242
1096197,2024,6.384
1028703,2022,5.4
1026227,2023,8.2
1041613,2024,6.276
1311550,2024,5.881
293660,2016,7.623
646683,2024,5.1
49051,2012,7.356
273477,2015,6.532
11688,2000,7.6
719221,2024,6.614
1291559,2024,8.5
8966,2008,6.3
10229,2002,7.8
259693,2016,7.294
630240,2021,6.4
121,2002,8.4
1017163,2024,6.7
496243,2019,8.5
12445,2011,8.094
1239251,2024,4.8
1190586,2023,5.0
718014,2024,6.048
762509,2024,0.0
1329912,2024,6.0
420818,2019,7.116
1364324,2024,4.3
968051,2023,6.761
614933,2024,6.814
12153,2004,6.953
1020896,2024,6.182
566525,2021,7.547
447365,2023,7.968
575264,2023,7.548
1018,2001,7.81
1241742,2024,2.0
767,2009,7.692
829560,2022,6.4
1019420,2024,6.2
1072790,2023,6.962
508883,2023,7.5
746036,2024,7.164
1111873,2024,6.819
1152624,2023,5.2
348,1979,8.2
361743,2022,8.202
585083,2022,7.075
1008953,2024,6.2
619264,2019,6.98
966576,2023,5.1
1049574,2024,6.7
948,1978,7.564
1865,2011,6.555
453395,2022,7.285
1094138,2024,6.447
1024721,2023,5.949
866398,2024,7.353
969492,2024,7.281
1027073,2023,6.56
438695,2021,7.865
50620,2012,6.5
615656,2023,6.486
423108,2021,7.431
1151949,2024,7.4
13,1994,8.471
18785,2009,7.323
184345,2014,6.157
72190,2013,6.818
1073125,2023,7.3
1096342,2024,5.4
634492,2024,5.459
437342,2024,6.9
1167366,2024,6.3
1130053,2024,6.2
14258,2003,6.1
2062,2007,7.8
675,2007,7.679
109445,2013,7.246
616037,2022,6.4
12444,2010,7.751
387824,2015,6.3
299054,2023,6.2
507089,2023,7.5
539972,2024,0.0
285,2007,7.3
862,1995,8.0
1052280,2024,6.39
106646,2013,8.034
8681,2008,7.394
1012148,2024,5.9
970347,2024,6.542
1014661,2024,5.7
926393,2023,7.328
370663,2017,6.822
1196263,2023,3.0
447277,2023,6.3
773621,2021,7.3
1017633,2024,6.4
335984,2017,7.6
1010600,2024,5.9
12155,2010,6.6
1298238,2024,6.2
959429,2024,6.041
1200674,2024,7.5
19995,2009,7.6
129,2001,8.5
269149,2016,7.8
27205,2010,8.4
505642,2022,7.1
91314,2014,5.94
1091267,2024,5.758
959098,2024,6.557
257088,2015,5.9
10144,1989,7.354
559,2007,6.4
1025463,2024,6.014
1214509,2024,5.8
1930,2012,6.707
680,1994,8.5
10184,2009,6.6
729165,2023,6.4
260346,2014,6.259
324786,2016,8.198
869291,2024,5.7
1059064,2024,6.22
76341,2015,7.615
296349,2008,5.0
1014214,2024,5.8
12,2003,7.819
809,2004,7.281
9806,2004,7.71
1182047,2024,6.993
572802,2023,6.7
4258,2013,4.8
660982,2020,6.138
315635,2017,7.336
1115729,2024,6.824
298618,2023,6.699
1248753,2024,6.942
228150,2014,7.539
1124,2006,8.203
804616,2024,5.988
109418,2013,6.142
156022,2014,7.279
967847,2024,6.6
10166,1990,6.9
10196,2010,4.651
10283,1989,5.0
296096,2016,7.931
955555,2023,7.2
447332,2018,7.404
588228,2021,7.529
396535,2016,7.754
10331,1968,7.611
38757,2010,7.606
1254234,2024,0.0
1284004,2024,5.5
473924,2017,8.5
1241748,2024,6.5
1208808,2024,0.0
557,2002,7.301
324857,2018,8.4
23398,2009,5.6
851644,2022,8.1
337167,2018,6.702
856289,2023,7.1
11036,2004,7.89
1049948,2023,6.1
550,1999,8.439
99861,2015,7.273
1291594,2024,6.5
1051891,2024,7.038
1005076,2024,6.3
20352,2010,7.245
980489,2023,7.815
950526,2023,7.403
978035,2023,6.2
766507,2022,7.7
10020,1991,7.736
984324,2024,6.235
50619,2011,6.201
1108427,2026,0.0
748167,2024,5.962
603,1999,8.218
24021,2010,6.2
4233,1997,6.493
930600,2024,6.2
425,2002,7.363
41446,2011,6.5
424,1993,8.565
990140,2023,6.4
10315,2009,7.806
707610,2020,5.9
10216,1998,5.151
214756,2015,6.3
791373,2021,8.143
508947,2022,7.37
1145291,2023,5.8
1282138,2024,6.7
438148,2022,7.326
642885,2022,7.236
1076708,2024,8.6
779816,2023,7.9
763215,2024,7.066
439079,2018,5.894
1360170,2024,0.0
330980,2014,5.3
118249,2011,6.9
14160,2009,7.958
772,1992,6.745
1075794,2023,7.474
